COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Ecuador	0 	0 	C 	33 	13 	0 		0 	16 	0 	0 	9 		0 	4 		0 	10 	0 		152 				8 	63 		1 	38 	3 		0 		54 		0 	136 	30 					1 	228 		0 			195 	0 		0 		12 	1 	0 	0 		1 		0 	0 	28 		23 	0 	0 		127 	1115 	4 	0 		2308 
Egypt	0 	0 	C 	1 	0 	1 		0 	0 	0 	0 	16 		0 	8 		0 		1 	0 	23 				52 	14 		44 	121 			0 		67 	5 	0 	31 	2 	97 		2 	84 	2 	339 		0 	28 		46 	4 		25 			0 	0 	0 		0 		0 	0 	0 	1 	9 	0 			271 	1152 	0 	0 	C 	2447 
El Salvador	0 	0 		10 	1 	0 		0 	0 		0 	5 		0 	C 		0 	7 	0 		14 				14 	35 						0 		10 		0 	15 	14 	6 		0 		0 	55 		0 	3 		22 	0 				67 	0 	0 	0 		0 		0 	0 	0 		2 	0 			67 	674 	0 	0 		1022 
Equatorial Guinea	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		4 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		4 
Eritrea	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		0 
Estonia	0 	0 	C 	262 	0 	0 		42 	12 	0 	0 	5 		0 	0 		0 		35 	10 	42 			285 	30 	543 		3 	23 	0 		0 		155 	1 	0 	45 	31 					0 	740 		0 			121 	0 		45 			0 	C 	0 		0 		0 	0 	50 	420 	10 	0 			308 	343 	0 	0 	C 	3563 
Ethiopia	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 	0 	0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		0 
Falkland Islands	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	4 						0 		0 		0 	0 	0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		1 	0 			0 	0 	0 	0 		5 
Faroe Islands	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		412 				0 	25 						0 		0 		0 		0 					0 	16 		0 			0 	0 		0 			0 	0 	0 		0 		0 	0 	0 		0 	0 			C 	0 	0 	0 		453 
Fiji	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		18 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			C 	0 	0 	0 		18 
Finland	25 	0 	454 	2839 	0 	0 	2 	5443 	251 	6 	3 	1745 	0 	10 	795 	30 	1 	0 	118 	7 	3091 	2 	192 		21258 	24037 	8 	98 	637 	2 	85 	0 		6170 	296 	3 	5055 	6921 	334 	35 	6 	2 	6 	17058 	10 	13 	4 	1 	8273 	5 	22 	2645 		1 	0 	4 	412 		0 	850 	97 	95 	3538 	11604 	5984 	0 	0 		21340 	38896 	2 	0 	6284 	197106 
France	33 	0 	6266 	18689 	152 	552 	902 	74930 	4299 	330 	53 	13752 	336 	211 	7788 	194 	1 	1 	449 	1072 	11828 	77 	157 	18927 		155680 	30 	2453 	9616 	50 	197 	0 		76527 	185 	523 	86590 	124121 	9039 	494 	924 	240 	395 	139644 	266 	326 	29 	4 	110276 	30 	236 	16735 	6 	34 	17 	288 	14756 	6 	17 	6988 	128 	259 	65397 	15477 	55324 	10 	7 		149628 	212505 	3 	0 	154493 	1570955 
French Southern Territories	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 			0 			0 	0 	0 	0 		0 
French Territories: French Polynesia	0 	0 		3 	0 	0 		0 	0 		0 	0 		0 	C 		0 		0 		0 				25 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		28 
French Territories: New Caledonia	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		0 
Gabon	0 	0 		0 	0 	0 		1 	0 		0 	0 		0 	0 		0 		0 		0 				179 	0 						0 		0 	0 	0 	0 	0 					0 	2 		0 			0 	0 					0 	0 	0 		0 		0 	0 	1 	3 	5 	0 			C 	C 	0 	0 		190 
Gambia, The	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	1 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		1 
Georgia	0 	0 		0 	0 	0 		4 	0 		0 	0 		0 	0 	0 	0 		22 		0 				0 	0 			1 			0 		0 	0 	0 		0 					0 	216 		0 			0 	0 					0 	0 	0 		3 		0 	0 	0 		0 	0 			0 	0 	0 	0 	C 	247 
Germany	230 	0 	6793 	71275 	142 	502 	621 	50431 	11910 	111 	62 	9620 	728 	631 	11171 	365 	54 	1 	800 	2173 	34651 	153 	322 	19443 	201799 		86 	6113 	12071 	163 	146 	2 	2 	90281 	346 	326 	118616 	157632 	16898 	587 	279 	238 	237 	230414 	167 	606 	1 	15 	193573 	58 	362 	37566 		35 	224 	660 	17455 	571 	835 	9088 	407 	161 	63715 	24426 	94699 	10 	104 		153187 	197487 	4 	0 	C 	1853842 
Ghana	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 			6 			0 		0 	17 	0 	0 	0 					0 	14 		0 	6 		0 	0 		3 			0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	4 	0 	0 		50 
Gibraltar	0 	0 		89 	0 	0 		82 	0 	0 	0 	0 		0 	C 		0 		0 		0 				8 	264 			116 			0 		25 		0 	361 	0 					0 	374 		0 			0 	0 		1 			0 	C 	373 		0 		0 	0 	167 	0 	166 	0 			1633 	64 	0 	0 		3721 
Greece	0 	0 	241 	7893 	0 	0 		17094 	119 	0 	7 	410 		0 	163 	4 	0 		300 	602 	1165 	1 	5 	1596 	38616 	31371 			619 	0 		0 		8468 	28 	0 	13991 	4832 	139 	24 	1 	0 	0 	18666 	0 	150 	1 		16829 	5 	15 	2771 			2 	C 	1071 		0 	177 	6 	8 	3167 	1322 	1777 	0 			17555 	8290 	24 	0 	C 	199528 
Greenland	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		58 				0 	0 						0 		0 		0 		0 					0 	0 		0 			10 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		68 
Grenada	0 	0 		0 	4 	0 		0 	0 	0 	0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 	1 	0 		0 					0 	3 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		1 	0 			C 	2 	0 	0 	C 	11 
Guadeloupe	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 			0 			0 	0 	0 	0 		0 
Guam	0 	0 		0 	0 	0 		1 	0 	0 	0 	0 		0 	C 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 			0 			0 		0 	0 		1 
Guatemala	0 	0 		5 	35 	0 		0 	0 	0 	0 	1 		0 	0 		0 	4 	0 		7 				0 	16 						0 		7 		0 	3 	1 					0 	52 		0 			3 	0 				158 	0 	0 	0 		0 		0 	0 	0 		0 	0 			C 	173 	0 	0 		467 
Guernsey	0 	0 		654 	0 	1 		383 	16 	11 	0 	171 	86 	0 	353 	27 	0 		0 		131 			201 	2179 	5699 		83 		0 		0 		221 	579 	0 	934 	0 	46 		8 	184 	0 	3694 		0 	3 		1178 	156 				0 	0 	0 	93 		0 		1 	479 	63 		8825 	0 			2453 	5941 	4 	0 	C 	34856 
Guiana, French	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 	0 	0 	2 				0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 			0 			0 	0 	0 	0 	C 	2 
Guinea	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 	0 		0 	0 					0 	0 	0 		0 		0 	0 	0 		2 	0 			0 	0 	0 	0 		2 
Guinea-Bissau	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		0 
Guyana	0 	0 		0 	0 	0 	3 	0 	0 		0 	0 		0 	0 		0 		0 		0 				1 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			1 	0 	0 	0 		5 
Haiti	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			C 	0 	0 	0 		0 
Honduras	0 	0 		0 	1 	0 		0 	0 		0 	0 		0 	1 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	8 		0 			0 	0 				88 	0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	43 	0 	0 		140 
Hungary	0 	0 	C 	3826 	0 	0 		1037 	26 	0 	13 	120 		28 	53 		0 		101 	255 	531 		56 		1891 	9269 		90 	111 			0 		1490 	1 	0 	463 	1174 	33 		43 		0 	10454 	0 	0 			1417 	5 		277 			0 	251 	145 		24 	10 	516 	3 	214 	324 	317 	0 			5111 	5104 	0 	0 	C 	44783 
Iceland	0 	0 	C 	825 	0 	0 		350 	62 		0 	35 		0 	189 	15 	0 		65 	157 	139 		7 	433 	2284 	3815 		71 	94 			0 		1265 	0 	0 	756 	550 	6 		18 		0 	3258 		0 			109 	10 		372 			0 	0 	197 		0 		0 	0 	547 	508 	226 	0 			2327 	243 	0 	0 	C 	18936 
India	0 	0 	C 	33 	0 	74 		72 	10 	0 	0 	736 		0 	1738 	1 	0 		26 	1 	547 	1 		234 	1166 	304 			30 				23 	473 	19 	0 	222 	382 	185 		29 		0 	6570 	5 	0 	22974 		802 	2 		5 			3 	C 	0 		0 	3179 	1 	0 	2222 	19 	151 	2 			6064 	23525 	0 	0 	C 	71828 
Indonesia	0 	0 	C 	34 	0 	0 		16 	599 		0 	255 		0 	578 	0 	0 		15 		148 	0 			320 	189 			273 			0 		281 	1 	0 	139 	191 	91 		28 		0 	2241 	9 	0 	5610 		700 	6 		16 			3 	0 	0 		0 	3153 	0 	1 	17 	48 	195 	147 			2156 	6987 	0 	0 	C 	24448 
Iran, Islamic Republic of	0 	0 		12 	0 	130 		0 	0 		0 	0 		2 	39 		0 		0 	3 	5 				11 	48 						0 		0 	0 	0 	7 	0 	10 				0 	0 		0 			0 	0 					0 	0 	0 		2 		0 	0 	0 	78 	17 	0 			888 	C 	0 	0 		1250 
Iraq	0 	0 	C 	0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 				0 	0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			C 	C 	0 	0 		1 
Ireland	0 	0 	571 	8666 	55 	16 	14 	12754 	5708 	16 	0 	3028 	757 	1694 	4238 	191 	130 	3 	252 	923 	2900 	17 	53 	5194 	58213 	71396 	5 	290 	5820 	79 	290 	0 			1853 	68 	42024 	36507 	8616 	13 	509 	12 	35 	33161 	93 	98 	63 	5 	17726 	70 		3219 		4 	21 	137 	14970 		763 	2342 	97 	3457 	15630 	3616 	12211 	11 	1 		80032 	55264 	0 	0 	C 	515902 
Isle of Man	0 	0 		3 	0 	0 		0 	0 	0 	0 	0 		0 	0 	0 	0 		0 		9 				0 	7 			45 			0 		14 		0 	14 	0 	8 				0 	71 	37 	0 	1 		0 	0 					0 	0 	0 		0 		0 	255 	0 		14 	0 			1646 	15 	0 	0 		2137 
Israel	0 	0 	C 	196 	0 	0 		66 	17 	10 	0 	557 		0 	14 	0 	0 		0 	0 	179 	0 		28 	393 	365 		1 	72 	5 	5 	0 		411 	0 		267 	1051 	17 				0 	1267 		0 	1 		662 	2 		58 		2 	0 	0 	0 		0 	68 	0 	3 	28 	33 	293 	55 	0 		2874 	34315 	2 	0 	C 	43319 
Italy	17 	0 	2222 	16405 	0 	0 	4 	76528 	914 	19 	199 	5072 	200 	15 	1675 	23 	13 	0 	508 	729 	7736 	40 	41 	6700 	233574 	153198 	8 	624 	6397 	17 	21 	0 	2 	87097 	52 	25 		66069 	1779 	158 	84 	176 	36 	130302 	35 	401 	12 	1 	76496 	52 	51 	10631 		2 	366 	65 	5143 	4 	16 	2264 	77 	70 	68613 	5538 	10873 	121 	1 		117532 	77710 	40 	7 	C 	1174798 
Jamaica	0 	0 		34 	0 	0 		46 	0 		0 	0 		0 	1 		0 	1 	0 		40 				20 	221 						0 		0 		0 	12 	2 	8 				0 	48 		0 			1 	3 					0 	0 	0 		0 		0 	0 	0 		29 	0 			39 	204 	0 	0 	C 	707 
Japan	14 	7 	11570 	2226 	4 	140 	87 	2488 	7799 	3 	0 	24144 	22 	15 	9960 	60 	0 		118 	6 	5293 	138 	1 	1609 	47279 	34462 	7 	72 	2085 	4 	193 	4 	0 	33452 	146 	65 	13519 		2909 	303 	1020 	10 	7 	74712 	53 	55 	509 		34153 	23 	1876 	15299 		0 	12 	2 	165 		4 	13122 	3 	270 	2015 	11433 	14878 	50 			128637 	369806 	0 	0 	C 	868318 
Jersey	0 	0 	C 	4243 	0 	0 	0 	3451 	2243 		0 	184 		0 	174 	10 	11 		41 	103 	673 			357 	6185 	15198 	0 	847 	787 	6 		0 		5849 	377 	0 	5921 	0 			196 	44 	4 	6941 	26 	42 	27 		5352 	0 					0 	295 	5609 		0 	22 	0 	2523 	255 		35435 	0 			37922 	12352 	0 	0 	C 	153706 
Jordan	0 	0 		0 	0 	11 		0 	0 		0 	0 		0 	2 		0 		24 		0 	37 			0 	0 						0 		11 		0 		0 				8 	3 	10 	1 	0 			8 	0 					0 	0 	0 		0 		0 	0 	0 		1 	0 			C 	41 	0 	0 		158 
Kazakhstan	0 	0 		45 	0 	16 		1 	0 		0 	2 		0 	7 		0 		27 	1 	33 		2 		90 	86 		7 	5 			0 		5 		0 	7 	2 	17 		6 		0 	161 		0 			15 	0 					1 	0 	0 		5 		0 	0 	1 		7 	0 	0 		353 	346 	0 	0 	C 	1250 
Kenya	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	3 		0 		0 		0 				0 	0 			34 			1 		10 		0 	1 	0 	42 				0 	79 		0 	5 		0 	0 		0 			0 	0 	0 		0 		0 	0 	0 		0 	0 			14 	17 	0 	0 		207 
Kiribati	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 			5 		0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		5 
Korea, Democratic People's Rep. of	0 	0 	C 		0 	0 			0 		0 				0 		0 		0 		0 					0 								0 		0 		0 					0 	0 					0 						0 	0 	0 		0 		0 	0 	0 			0 				0 	0 	0 	C 	0 
Korea, Republic of	4 	0 	1105 	311 	0 	56 		227 	2872 	0 	0 	3290 	0 	1 	11058 	101 	0 		62 	0 	1070 	1 		413 	3233 	2257 		1 	449 	11 	21 	0 	2 	3941 	20 	1 	1362 	6216 	633 				10 	13471 	82 	0 	118 		5045 	0 	107 	885 		4 	52 	0 	0 		0 	10874 	1 	5 	163 	998 	1532 	37 			24880 	73613 	0 	0 	C 	170597 
Kosovo, Republic of																																																																										
Kuwait	0 	0 		19 	0 	385 		5 	0 		0 	0 		0 	24 		0 		10 		0 	7 			65 	30 		3 	1 			0 		0 		0 		0 			5 		0 	46 		0 			0 	0 		1 	0 		0 	0 	0 		0 	0 	0 	0 	0 		0 	0 			823 	C 	0 	0 		1424 
Kyrgyz Republic	0 	0 		0 	0 	0 	25 	0 	0 	0 	0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 		0 			0 	0 		0 			0 	0 					0 	0 	0 		4 		0 	0 	0 		0 	0 			0 	11 	0 	0 	C 	40 
Lao People's Democratic Republic	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			C 	0 	0 	0 		0 
Latvia	0 	0 		87 	0 	0 		13 	0 		3 	0 		0 	C 		0 		18 		0 		68 	42 	5 	546 		4 	3 			0 		11 		0 	3 	0 					0 	166 		0 			20 	0 		9 			0 	C 	0 		0 		1 	0 	0 	39 	1 	0 			33 	8 	0 	0 	C 	1079 
Lebanon	0 	0 		0 	0 	26 		7 	0 	5 	0 	0 		0 	6 		0 		277 		0 	3 			14 	7 						0 		3 		0 	18 	5 	50 			46 		38 	0 	0 			15 	0 					0 	0 	0 		0 		0 	0 	0 		8 	0 			701 	223 	0 	0 		1454 
Lesotho	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	26 	0 	0 		26 
Liberia	0 	0 		3 	0 	0 		1 	20 	0 	0 	49 		0 	3 		0 		0 		13 				38 	30 			1 			0 		16 		0 	74 	9 	4 	3 		3 	0 	149 		0 			8 	0 		683 			0 	0 	0 		0 		0 	0 	0 	-3 	7 	0 			60 	7829 	0 	0 	C 	9000 
Libya	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 	0 	0 					0 	0 		0 			0 	0 		1 			0 	0 	0 		0 		0 	0 	0 		0 	0 			12 	C 	0 	0 		13 
Liechtenstein	0 	0 		35 	0 	0 		1 	0 	0 	0 	0 		0 	C 	0 	0 		0 	0 	0 				7 	309 			11 			0 		5 		0 	294 	3 					0 	56 		0 			1 	0 		0 			0 	0 	0 		0 		0 	0 	0 	0 		0 			C 	35 	0 	0 		759 
Lithuania	0 	0 		266 	0 	0 		16 	0 		0 	0 		0 	C 		0 		22 		22 		94 	226 	66 	1161 		12 	7 	7 		0 		11 		0 	18 	12 					0 	475 		0 			196 	0 		17 			0 	C 	0 		0 		0 	0 	2 	96 	21 	0 			C 	5 	0 	0 	C 	2752 
Luxembourg	880 	0 	276 	13236 	0 	259 	328 	86537 	4560 	170 	27 	991 	450 	8324 	13715 	149 	160 		308 	1703 	3857 	1 	134 	7689 	68021 	225009 		4736 	2313 	274 	1853 	0 	4 	22972 	2060 	611 	214950 	71863 	12487 	5 	4249 	7 	74 		14 	230 	54 	452 	27546 	24 	5 	5865 		17 	26 	333 	7231 	10 	733 	3710 	332 	1697 	36227 	38076 	120514 	0 	20 		54272 	38050 	13 	0 	C 	1110692 
Macedonia, FYR	0 	0 		1 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		15 				1 	1 			8 			0 		3 		0 	1 	0 					0 	19 		0 			5 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			23 	40 	0 	0 	C 	119 
Madagascar	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	1 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 	69 		0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			C 	0 	0 	0 		70 
Malawi	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 	6 		0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		6 
Malaysia	0 	0 	148 	75 	0 	15 		34 	53 		0 	341 		12 	4204 	21 	0 		65 		302 				770 	744 		1 	240 	3 		1 	2 	599 	1 	0 	351 	1322 	276 		221 	121 	0 	3778 		0 	236 		2971 	0 		49 			38 	C 	0 		1 	13882 	0 	0 	1 	88 	204 	18 			6700 	10690 	0 	0 	C 	48578 
Maldives	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		4 				0 	0 						0 		0 		0 	11 	0 					0 	0 		0 	5 		0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			C 	0 	0 	0 		20 
Mali	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 		1 				0 		0 		0 		0 					0 	0 		0 	0 		0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 	C 	2 
Malta	0 	0 		48 	0 	0 		0 	0 		0 	0 		0 	1 		0 		21 		0 				0 	44 						0 		29 		0 	131 	0 	193 			22 	0 	9 					0 	0 		1 			0 	0 	0 		0 		0 	0 	6 		4 	0 			182 	17 	0 	0 		706 
Marshall Islands, Republic of	0 	0 		5 	0 	0 		1 	8 		0 	66 		0 	4 		0 		0 		10 				19 	7 			0 			0 		63 		10 	4 	10 					0 	23 		0 			14 	0 					0 	0 	0 		0 		0 	0 	0 	1 	10 	0 			0 	4475 	0 	0 		4731 
Martinique	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 			0 			0 	0 	0 	0 		0 
Mauritania	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 	3 		4 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		7 
Mauritius	0 	0 		1 	0 	0 		0 	63 		0 	31 		0 	19 	0 	0 		0 		81 				36 	34 			106 			1 	463 	45 	10 	0 	19 	6 	48 		20 		0 	156 	11 	0 			10 	0 			2 		0 	0 	0 		0 	120 	0 	27 	0 	9 	30 	0 			523 	325 	0 	0 		2197 
Mayotte	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 	0 		0 	0 					0 	0 	0 		0 		0 	0 	0 			0 			0 	0 	0 	0 		0 
Mexico	92 	0 	193 	628 	785 	0 		68 	362 	5 	0 	3040 	4322 	214 	182 	0 	2 	10 	31 	0 	1124 			10 	1042 	3055 		16 	370 		1 	0 		1313 	2 	1 	3022 	1926 	145 	1 	44 		0 	5943 		0 			2798 	28 		750 		103 	16 	C 	40 		0 	507 	17 	0 	175 	171 	585 	0 	0 		10887 	66317 	15 	4 	C 	110364 
Micronesia, Federated States of	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		0 
Moldova	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		25 				0 	0 						0 		4 		0 		0 					0 	2 		0 			0 	0 					0 	0 	0 	1 	0 		0 	0 	0 		0 	0 			0 	0 	0 	0 	C 	32 
Monaco	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 	0 	0 	812 	0 					6 	162 		0 	0 		0 	0 					0 	0 	0 		0 		0 	0 	0 			0 			C 	8 	0 	0 		988 
Mongolia	0 	0 	C 	0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 			2 		0 	1 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		3 
Montenegro												0 			0 						0 				0 									0 															0 														0 		0 									0 
Montserrat	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 				9 	0 	0 	0 		0 		0 	0 	0 			0 			0 	0 	0 	0 		9 
Morocco	0 	0 	C 	42 	0 	14 		19 	5 		0 	1 		0 	3 		0 		1 		11 	17 			450 	99 			25 			0 		8 		0 	60 	1 	33 			32 	1 	123 		0 	12 		75 	0 		1 			0 	C 	0 		0 		0 	0 	395 	1 	13 	0 			99 	228 	0 	0 	C 	1769 
Mozambique	0 	0 		0 	0 	0 		0 	0 	0 	0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 	0 	0 					0 	1 		0 	1 		0 	0 		1 			0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		3 
Myanmar	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	C 		0 		0 		0 				0 	0 						0 	0 	0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 	2 	0 	0 	0 		0 	0 			0 	0 	0 	0 		3 
Namibia	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	1 	0 		0 	0 			C 	1 	0 	0 		2 
Nauru	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		0 
Nepal	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	6 		0 			0 	0 		3 			0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 	C 	9 
Netherlands	48 	20 	9853 	20670 	56 	358 	549 	52715 	4356 	40 	49 	9336 	456 	54 	8364 	185 	9 		448 	1992 	6396 	46 	307 	11055 	204938 	154959 	17 	1714 	2893 	88 	39 	0 	138 	52655 	155 	196 	67895 	71368 	11220 	185 	988 	305 	32 	87450 	309 	461 	585 	67 		408 	200 	9745 	1 	12 	69 	695 	8819 		382 	4367 	320 	90 	52283 	10498 	58836 	43 	334 		124885 	202361 	33 	11 	36743 	1297152 
Netherlands Antilles	0 	26 	C 	746 	46 	0 		1724 	275 	0 	0 	422 		0 	817 	34 	0 		6 	11 	135 			15 	31165 	2607 		8 	371 	1 		0 		482 	7 	0 	2757 	12636 	508 		4 		0 	3824 		0 	1 		2382 			217 		3 	0 	C 	389 		0 		64 	0 	2667 	156 	2812 	0 			1695 	30277 	0 	0 	C 	99291 
