COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Liberia	0 	0 	0 	4 	0 	0 	0 	1 	23 	0 	0 	100 	0 	0 	2 	0 	0 	0 	0 	0 	20 	0 		0 	11 	15 	0 	0 	0 	0 	0 	0 	0 	22 	0 	0 	16 	63 	2 	5 	0 	3 	0 	79 	0 		0 	0 	106 	0 	0 	344 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	2 	22 	0 	0 	0 	175 	6748 	0 	0 	0 	C 	7765 
Libya	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	C 	0 	0 	0 	0 	0 	0 
Liechtenstein	25 	0 	0 	39 	0 	0 	0 	1 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	3 	0 	5 	487 	0 	0 	12 	0 	0 	0 	0 	2 	0 	0 	14 	0 	7 	0 	17 	0 	0 	36 	0 		0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	15 	0 	0 		0 	0 	0 	C 	66 	0 	0 	0 	0 	737 
Lithuania	0 	0 	0 	352 	0 	0 	0 	17 	0 	0 	0 	0 	0 	0 	C 	0 	0 	0 	19 	0 	22 	0 	135 	248 	109 	1209 	0 	34 	14 	0 	0 	0 	0 	12 	0 	0 	6 	0 	14 	0 	0 	0 	0 	503 	0 		0 	0 	235 	0 	0 	13 	0 	0 	0 	0 	41 	1 	0 		0 	0 	37 	152 	70 	0 	0 	0 	C 	53 	0 	0 	0 	C 	3295 
Luxembourg	829 	1 	476 	16826 	0 	875 	367 	103664 	2953 	137 	28 	1399 	430 	13805 	15651 	185 	144 	0 	487 	1777 	4311 	1 	153 	10029 	87394 	247728 	65 	5834 	3049 	494 	2665 	0 	0 	26916 	1969 	978 	229974 	75979 	4795 	6 	6810 	51 	97 		8 	357 	84 	717 	35547 	334 	C 	6888 	0 	11 	53 	686 	9919 	12 	1266 	4091 	338 	2945 	45511 	36095 	114015 	302 	61 	0 	62580 	46287 	20 	0 	0 	6769 	1244227 
Macedonia, FYR	0 	0 	0 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	23 	0 	23 	0 		0 	2 	64 	0 	2 	8 	0 	0 	0 	0 	7 	0 	0 	6 	0 	0 	0 	0 	0 	0 	52 	0 		0 	0 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	1 	0 	0 	4 	C 	53 	0 	0 	0 	C 	260 
Madagascar	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	C 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		24 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	24 
Malawi	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	6 
Malaysia	0 	0 	170 	67 	0 	15 	0 	42 	88 	0 	0 	419 	10 	12 	4186 	36 	0 	0 	32 	0 	416 	0 		75 	1197 	451 	0 	0 	200 	0 	0 	1 	0 	845 	18 	0 	293 	1263 	33 	0 	278 	122 	0 	3695 			23 	0 	1396 	0 	C 	90 	0 	0 	267 	0 	0 	0 	1 	12979 	0 	1 	0 	64 	184 	112 	0 	0 	7570 	11282 	0 	0 	0 	C 	47933 
Maldives	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 		4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	13 
Mali	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	93 	0 		1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	97 
Malta	0 	0 	0 	59 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	35 	0 	0 	0 		0 	113 	20 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	306 	0 	231 	0 	0 	36 	0 	4 	0 		0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 		0 	0 	29 	0 	12 	0 	0 	0 	C 	96 	0 	0 	0 	0 	949 
Marshall Islands, Republic of	0 	0 	0 	6 	0 	0 	0 	2 	8 	0 	0 	92 	0 	0 	0 	0 	0 	0 	42 	0 	9 	0 		0 	25 	8 	0 	0 	1 	0 	0 	0 	0 	11 	0 	0 	12 	39 	0 	0 	0 	0 	0 	29 	0 		0 	0 	35 	0 	0 	138 	0 	0 	0 	0 	0 	0 	0 		0 	0 	1 	0 	11 	0 	0 	0 	5 	5545 	0 	0 	0 	0 	6018 
Martinique	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
Mauritania	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 		0 	0 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	10 
Mauritius	0 	0 	0 	0 	0 	0 	0 	0 	203 	0 	0 	60 	0 	0 	37 	0 	0 	0 	0 	0 	12 	0 		0 	67 	29 	10 	0 	101 	0 	0 	1 	7 	32 	17 	0 	43 	6 	24 	0 	20 	2 	0 	210 	1 			0 	45 	28 	0 	0 	2 	0 	0 	0 	0 	0 	0 	197 	0 	37 	0 	0 	153 	0 	0 	0 	327 	237 	0 	0 	0 	0 	1906 
Mayotte	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
Mexico	196 	2 	265 	715 	1611 	0 	1 	78 	438 	15 	3 	3900 	4850 	362 	218 	0 	10 	12 	79 	0 	1521 	0 	3 	36 	1446 	2878 	9 	72 	629 	0 	1 	0 	0 	1952 	5 	26 	2005 	2223 	110 	1 	27 	0 	0 	8100 	0 	7 	0 		3888 	29 	C 	1076 	0 	82 	39 	0 	61 	0 	0 	451 	4 	0 	374 	333 	683 	0 	0 	0 	16855 	86108 	13 	0 	4 	C 	143806 
Micronesia, Federated States of	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
Moldova	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	25 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	C 	33 
Monaco	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	1 	1 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 	C 	9 	0 	0 	0 	0 	12 
Mongolia	0 	0 	C 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	1 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	C 	0 	0 	0 	0 	0 	3 
Montenegro			0 									0 			0 			0 			0 				0 	0 								0 								0 							0 			0 				0 	0 						0 		0 	0 								0 	0 
Montserrat	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	23 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	23 
Morocco	0 	0 	0 	39 	0 	0 	0 	20 	4 	0 	0 	5 	2 	0 	6 	0 	0 	0 	1 	0 	8 	28 		0 	509 	70 	0 	0 	21 	0 	0 	0 	0 	9 	0 	0 	54 	2 	46 	0 	0 	35 	1 	200 	0 		17 	0 	19 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 		0 	3 	448 	0 	10 	0 	0 	0 	182 	440 	0 	0 	0 	C 	2185 
Mozambique	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	19 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	20 
Myanmar	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 
Namibia	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	37 	0 	0 	5 	0 	0 	0 	C 	1 	0 	0 	0 	0 	44 
Nauru	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	C 	0 	0 	0 	0 	0 	2 
Nepal	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	C 	0 	0 	0 	0 	C 	5 
Netherlands	30 	17 	11973 	20503 	74 	419 	297 	55851 	4898 	409 	54 	10815 	558 	6 	8783 	282 	53 	20 	473 	1749 	6416 	38 	263 	10850 	190293 	136085 	52 	2087 	3437 	99 	58 	0 	4 	41484 	226 	332 	74660 	69079 	43127 	324 	1388 	274 	45 	95211 	163 	511 	780 	42 		388 	252 	9305 	0 	13 	70 	415 	7766 	0 	644 	4779 	293 	44 	51551 	8377 	47601 	88 	162 	0 	152237 	191882 	36 	0 	0 	44422 	1314920 
Netherlands Antilles	0 	28 	C 	727 	0 	15 	2 	1789 	136 	1 	0 	870 	18 	2 	978 	7 	0 	0 	4 	32 	171 	0 	10 	12 	44478 	2005 	0 	142 	614 	1 	0 	0 	0 	436 	9 	36 	2686 	9164 	141 	0 	65 	0 	2 	3409 	0 		0 	0 	2335 		0 	308 	0 	127 	0 	C 	531 	0 	0 		2 	0 	2780 	54 	1925 	0 	0 	0 	1897 	47222 	0 	0 	12 	C 	125184 
New Zealand	0 	0 	3354 	124 	0 	0 	5 	213 	47 	0 	0 	467 	31 	0 	561 	2 	0 	0 	28 	0 	20 	2 		14 	491 	378 	2 	1 	62 	1 	0 	0 	85 	1158 	2 	13 	319 	4098 	775 	11 	8 	0 	0 	1641 	4 		4 	0 	242 	49 		289 	0 	0 	0 	0 	28 	0 	0 	540 	0 	3 	272 	59 	878 	13 	0 	0 	3888 	11935 	0 	3 	0 	C 	32120 
Nicaragua	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	3 	0 	0 	0 	0 	16 	0 		0 	0 	0 	0 	0 	1 	0 	66 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	C 	31 	0 	0 	0 	0 	123 
Niger	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	20 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	C 	0 	0 	0 	0 	0 	23 
Nigeria	0 	0 	C 	14 	0 	0 	0 	0 	0 	0 	0 	0 	145 	0 	28 	0 	0 	0 	0 	0 	57 	6 		0 	124 	7 	0 	0 	75 	0 	0 	1 	0 	25 	0 	0 	24 	26 	33 	0 	0 	0 	1 	142 	0 		121 	0 	52 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	2 	0 	0 	0 	0 	0 	0 	286 	0 	0 	0 	0 	0 	1169 
Niue	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	3 
Norfolk Island	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
Norway	0 	0 	767 	1308 	102 	0 	52 	933 	443 	2 	4 	1528 	187 	13 	2438 	105 	10 	6 	299 	110 	2405 	0 	8 	1995 	5709 	7210 	0 	17 	850 	2 	576 	0 	0 	4289 	42 	86 	1700 	15951 	1169 	13 	83 	0 	1 	11656 	16 	119 	0 	0 	2766 	5 	C 		0 	0 	10 	C 	256 	0 	0 	945 	3 	3 	1702 	5975 	4331 	0 	0 	0 	14736 	36334 	1 	0 	0 	C 	129273 
Oman	0 	0 	0 	0 	0 	42 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 		0 	2 	6 	0 	0 	40 	0 	0 	0 	0 	31 	0 	0 	4 	0 	19 	0 	0 	74 	5 	86 	0 		0 	0 	5 	0 	0 	4 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	1 	0 	0 	0 	C 	0 	0 	0 	0 	0 	321 
Pakistan	0 	0 	C 	2 	0 	54 	0 	0 	0 	0 	0 	1 	14 	0 	64 	0 	0 	0 	0 	0 	12 	0 		0 	1 	12 	0 	0 	4 	0 	0 	0 	2 	27 	0 	0 	6 	10 	2 	0 	3 	33 	0 	57 	5 		30 	0 	57 	0 	0 	0 		0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	3 	0 	2 	0 	238 	389 	0 	0 	0 	C 	1027 
Palau	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
Panama	36 	2 	C 	91 	91 	0 	8 	42 	39 	58 	0 	387 	19 	13 	131 	0 	42 	34 	15 	0 	437 	0 		7 	173 	327 	0 	0 	70 	0 	0 	2 	0 	172 	0 	0 	280 	365 	28 	4 	0 	0 	1 	1192 	0 		0 	0 	839 	4 	0 	117 	0 		0 	C 	13 	0 	0 		1 	21 	83 	30 	808 	0 	0 	0 	1545 	26151 	1 	0 	6 	C 	33681 
Papua New Guinea	0 	0 	0 	4 	0 	0 	0 	1 	0 	0 	0 	19 	0 	0 	9 	0 	0 	0 	0 	0 	0 	0 		0 	16 	12 	0 	0 	4 	0 	0 	0 	0 	9 	0 	0 	1 	0 	0 	0 	0 	0 	0 	171 	0 		0 	0 	13 	0 	0 	10 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	20 	0 	0 	0 	118 	782 	0 	0 	0 	0 	1189 
Paraguay	22 	0 	0 	0 	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	3 	0 	0 	0 	0 	0 	0 	C 	0 	0 	0 	0 	0 	36 
Peru	15 	0 	10 	91 	14 	0 	0 	14 	20 	0 	0 	134 	85 	36 	3 	0 	0 	4 	5 	0 	378 	0 		10 	211 	333 	0 	2 	59 	0 	0 	0 	0 	248 	0 	0 	176 	174 	14 	0 	0 	0 	0 	1177 	0 		0 	2 	346 	0 	0 	0 	0 	33 	0 	0 	3 	0 	0 		0 	0 	41 	12 	39 	0 	0 	0 	1161 	4588 	0 	0 	0 	C 	9440 
Philippines	0 	0 	C 	140 	18 	0 	0 	14 	27 	0 	0 	147 	115 	0 	1119 	0 	0 	0 	3 	0 	599 	0 		16 	1147 	950 	0 	5 	385 	0 	0 	0 	5 	1032 	0 	1 	384 	1382 	41 	39 	22 	1 	0 	2750 	10 		3 	27 	698 	1 	C 	18 	0 	1 		0 	20 	0 	0 	1045 	1 	0 	52 	17 	360 	1 	0 	0 	3360 	7179 	1 	0 	0 	C 	23139 
Pitcairn Islands	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
Poland	0 	0 	71 	5060 	0 	0 	0 	616 	56 	0 	5 	219 	0 	5 	52 	3 	0 	0 	145 	548 	1023 	0 	147 	680 	4024 	8801 	0 	937 	153 	92 	0 	0 	0 	4223 	2 	0 	785 	3309 	41 	21 	2 	0 	0 	12938 	0 		0 	0 	2552 	84 	C 	429 	0 	0 	0 		146 	1 	21 	334 	172 	2 	289 	592 	441 	5 	0 	0 	7693 	7537 	0 	0 	0 	C 	64256 
Portugal	0 	0 	C 	2101 	4 	0 	0 	8575 	341 	124 	11 	347 	120 	1 	193 	9 	0 	0 	59 	151 	225 	3 	7 	597 	35225 	20724 	0 	237 	183 	1 	29 	0 	0 	11388 	0 	21 	6770 	1712 	1176 	6 	2 	17 	0 	9647 	0 		0 	0 	9718 	2 	C 	1511 	0 	8 	0 	2 		0 	0 	504 	5 	0 	5071 	345 	999 	0 	1 	0 	14017 	6053 	0 	0 	0 	C 	138244 
Puerto Rico	0 	0 	0 	1 	0 	0 	3 	1 	9 	12 	0 	43 	0 	0 	3 	0 	17 	0 	0 	0 	1 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	4 	18 	0 	0 	5 	0 	0 	10 	0 		0 	0 	27 	0 	0 	1217 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 	C 	0 	0 	0 	0 	0 	1374 
Qatar	0 	0 	C 	19 	0 	500 	0 	0 	12 	0 	0 	7 	0 	15 	5 	0 	0 	0 	42 	0 	45 	1 		0 	3 	105 	0 	0 	30 	0 	0 	0 	0 	74 	0 	0 	5 	144 	33 	0 	0 	667 	2 	137 	5 		0 	0 	136 	0 	0 	19 	1 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	38 	46 	0 	0 	C 	0 	0 	0 	0 	C 	2091 
Reunion	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
Romania	0 	0 	0 	684 	0 	0 	0 	11 	1 	0 	10 	2 	0 	0 	4 	0 	0 	0 	138 	3 	44 	4 	36 	0 	114 	663 	0 	569 	45 	1 	0 	0 	0 	77 	0 	0 	255 	18 	19 	0 	0 	0 	0 	1000 	0 		0 	0 	193 	0 	0 	0 	0 	0 	4 	8 	4 		0 		1 	0 	14 	65 	21 	0 	0 	0 	1448 	251 	0 	0 	0 	C 	5709 
Russian Federation	0 	0 	189 	2139 	25 	3 	0 	75 	459 	2 	36 	530 	126 	11 	86 	1 	6 	1 	1563 	230 	1678 	6 	113 	1353 	1210 	2447 	0 	311 	3786 	20 	0 	0 	0 	3591 	1 	0 	1512 	1369 	1112 	4 	76 	18 	1 	11719 	0 		0 	5 	4105 	3 	0 	400 	0 	1 	90 	1 	38 	0 		308 	9 	0 	209 	3691 	1585 	0 	20 	1 	26640 	28764 	0 	0 	0 	C 	101681 
Rwanda	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
Saint Helena	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	14 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	14 
Saint Pierre and Miquelon	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
Samoa	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
San Marino	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	12 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	12 
