COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Greece	Guernsey	Hungary	Iceland	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Croatia	0 	0 	C 	726 			13 	3 		18 	26 	8 	0 	C 				16 	10 	45 		4 	3 	157 	1475 	68 	12 	21 			59 	0 		176 	633 	37 		2 			691 		20 			458 			8 				C 	0 		0 			0 	1 	10 	46 	0 			471 	676 	0 		0 	C 	5897 
Cuba	0 	0 		0 			0 	0 	0 		0 		0 					0 		0 				0 	0 	0 	7 					0 		0 	0 						1 					3 	0 						0 			0 			0 	0 	0 	1 	0 			9 	0 	0 		0 		20 
Curacao																																																																								
Curacao & St. Maarten																																																																								
Cyprus	0 	0 		195 			57 	0 			0 		0 						28 	3 		3 		277 	611 	758 	75 				94 	0 		81 	0 	14 		1 		0 	313 			32 		229 			5 				0 	38 		40 			0 	22 	108 	204 	0 			361 	100 	0 		0 	C 	3647 
Czech Republic	3 	0 	3 	522 			79 	0 			60 		0 					36 		98 		5 	9 	142 	736 	11 	223 	21 			564 	0 		121 	12 	55 					1168 					414 			75 				C 	0 		2 	8 	77 	0 	22 	83 	37 	0 			548 	1293 	0 		0 	C 	6429 
Denmark	0 	0 	511 	5370 	13 		3134 	516 	1 		1067 	52 	0 	496 	26 	0 		29 	20 		6 	28 	2432 	5644 	13082 	35 	595 	0 	24 		4464 	455 	25 	1632 	7144 	821 	23 	3 		3 	14650 	0 	16 	0 		5005 	290 	4 	6522 		2 		C 	349 		0 	837 	2 	19 	1410 	3817 	4014 	0 	0 		12966 	22141 	4 		4 	C 	119704 
Djibouti	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		0 
Dominica	0 	0 		0 				0 			0 		0 					0 		0 				0 	0 	0 						0 	5 	0 	0 						1 					0 	0 						0 			0 			0 	0 	0 	0 	0 			-23 	0 	0 		0 	C 	-17 
Dominican Republic	0 	0 		9 		14 	0 	0 	1 		28 	2 	0 				3 	0 		21 				34 	11 	0 					14 	0 		14 	1 	5 					62 					24 	11 				6 		0 			0 			0 	0 	0 	5 	0 			66 	512 	1 		0 		843 
Ecuador	0 	0 	2 	29 	40 		0 	10 	0 	0 	3 	19 	0 	0 		0 	7 	0 		74 				23 	83 	0 	15 	4 				0 		125 	27 					1 	232 					198 					9 	2 	0 	0 		4 			0 	24 	1 	43 	0 	2 		C 	902 	3 		0 		1881 
Egypt	0 	0 	C 	4 			0 	0 	0 		8 		0 					0 		13 				44 	6 	62 	87 				26 	4 		21 	1 	12 		2 	97 	1 	133 			32 		11 	0 						0 	0 		0 			0 	0 	1 	12 	0 			150 	571 	0 		0 	C 	1298 
El Salvador	0 	0 		13 	42 	25 	0 	0 			5 	4 	0 				47 	0 		8 				15 	14 	0 					22 	0 		14 	12 	5 					35 					20 					28 		0 			0 			0 	1 	0 	1 	0 			C 	601 	0 		0 		911 
Equatorial Guinea	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		0 
Eritrea	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						2 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		2 
Estonia	0 	0 		202 			-2 	16 	0 		3 	2 	7 					12 	0 	31 			104 	12 	192 	0 	21 				42 	1 		40 	27 						421 					83 			8 				0 			7 			0 	2 	190 	52 	0 			203 	174 	0 		0 	C 	1850 
Ethiopia	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 					24 	0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 	0 	0 		0 		24 
Falkland Islands	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		0 
Faroe Islands	0 	0 		0 			0 	0 			0 		0 					0 		50 				0 	0 	0 						0 		0 	0 						0 					0 			1 				0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		51 
Fiji	0 	0 		0 			0 	0 			2 		0 					0 		0 				0 	0 	0 					17 	0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			C 		0 		0 		19 
Finland	26 	0 	363 	2531 		2 	3793 	182 	1 	7 	1891 	0 	34 	813 	35 		0 	9 	8 	2710 		164 		18515 	21348 	111 	729 	3 	91 	2 	5091 	223 	1 	4058 	6743 	441 	22 	5 	2 	5 	10690 	0 	3 			6696 	11 	0 	2179 		3 		5 	510 		0 	668 	11 	22 	2354 	8596 	5079 	0 	0 		18698 	41126 	0 		0 	C 	166612 
France	30 	0 	4850 	13812 	153 	20 	54395 	4593 	46 	20 	11963 	254 	54 	6881 	172 	12 	0 	426 	1302 	7134 	70 	73 	13181 		122169 	3260 	9955 	34 	74 		59488 	272 	374 	73902 	90335 	10344 	439 	493 	188 	231 	119172 	121 	235 	15 		82969 	47 	199 	10793 	6 	20 	29 	137 	12226 	0 	27 	8372 	63 	215 	51692 	11480 	44106 	14 	14 		119125 	183425 	6 		3 	178304 	1313815 
French Southern Territories	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 								0 							0 					0 							0 			0 			0 	0 	0 		0 			0 		0 		0 		0 
French Territories: French Polynesia	0 	0 		3 			0 	0 			0 		0 	C 				0 		0 				23 	0 	0 						0 		0 	0 						1 					0 							0 			0 			0 	0 	0 	0 	0 			0 	0 	0 		0 		27 
French Territories: New Caledonia	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		0 
Gabon	0 	0 		0 			0 	0 			0 		0 					0 		0 				99 	0 	0 						0 		0 	0 						1 					0 							0 	0 		0 			0 	0 	0 	4 	0 			2 		0 		0 		106 
Gambia, The	0 	0 		0 			0 	0 			0 		0 	C 				0 		0 				0 	0 	0 						0 		0 	0 						28 					0 							0 			0 			0 	0 	0 	0 	0 			0 	30 	0 		0 		58 
Georgia	0 	0 		0 			3 	0 			0 		0 			1 		0 		0 				0 	0 	0 	5 				84 	0 		0 	1 						155 					0 							0 			3 			0 	0 	0 	0 	0 			C 	0 	0 		0 	C 	252 
Germany	169 	0 	5071 	59149 	93 	46 	43003 	8165 	68 	70 	8596 	2154 	264 	10428 	343 	38 		247 	2099 	22555 	101 	371 	13810 	188203 		2347 	10358 	54 	165 	67 	82203 	485 	350 	95825 	154751 	16253 	308 	198 	233 	44 	212775 	79 	606 	3 	50 	159575 	104 	277 	26701 		38 	51 	663 	14359 		545 	9606 	221 	188 	64288 	16198 	82965 	400 	404 		117333 	186611 	12 		3 	232664 	1855404 
Ghana	0 	0 	C 	1 			0 	0 			9 		0 					0 		1 				33 	4 	0 	12 					0 		1 	4 	2 					203 					0 							0 			0 			0 	0 	0 	13 	0 			14 	1216 	0 		0 		1513 
Gibraltar	0 	0 		68 			70 	0 	0 		0 		0 					0 		0 				8 	561 	0 	82 				40 	0 		90 	0 	73 					1116 					0 							15 	559 		0 			0 	277 	0 	130 	0 			C 	31 	0 		0 		3120 
Greece	0 	0 	189 	6398 			12038 	256 		13 	243 		7 	145 	4 			170 	599 	681 		3 	944 	25976 	24678 		607 				5289 	31 		10773 	4424 	102 	15 	16 	0 		10000 	0 	100 			8132 	5 	8 	1508 			1 	C 	502 		0 	91 	3 	56 	2344 	851 	1065 	0 			17365 	5935 	0 		0 	C 	141570 
Greenland	0 	0 		0 			0 	0 			0 		0 					0 		45 				0 	0 	0 						0 		0 	0 						0 					6 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		51 
Grenada	0 	0 		0 	4 		0 	0 	0 		0 	5 	0 					0 		0 				0 	0 	0 						0 		0 	0 						1 					0 	1 						0 			0 			0 	0 	0 	1 	0 			C 	6 	0 		0 	C 	19 
Guadeloupe	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 		0 			0 		0 		0 		0 
Guam	0 	0 		0 			0 	0 			0 		0 	59 				0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 		0 			0 		0 		0 		59 
Guatemala	0 	0 		4 	130 	94 	0 	0 	0 		1 	0 	0 				3 	0 		0 				0 	6 	0 					5 	0 		3 	1 						25 					1 					102 		0 			0 			0 	0 	0 	0 	0 			48 	109 	0 		0 		534 
Guernsey	0 	0 		549 			194 	148 	6 		50 	8 	8 	3 	65 			0 		20 			111 	1956 	5302 	136 		4 			213 	203 		1062 	0 	132 		9 	84 	4 	3308 			8 		758 	123 						C 	123 		0 		1 	667 	45 	14 	5061 	0 			2556 	5350 	1 		0 	C 	28284 
Guiana, French	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 		0 			0 	0 	0 		0 		0 
Guinea	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 	0 		0 			0 	0 	0 	9 	0 			0 		0 		0 		9 
Guinea-Bissau	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 	0 		0 			0 	0 	0 	0 	0 			0 		0 		0 		0 
Guyana	0 	0 		0 		27 	0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	9 						13 					0 							0 			0 			0 	0 	0 	0 	0 			18 	5 	0 		0 		72 
Haiti	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			43 	0 	0 		0 		43 
Honduras	0 	0 		0 	1 		0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						6 					0 					42 		0 			0 			0 	0 	0 	0 	0 			0 	50 	0 		0 	C 	99 
Hungary	0 	0 	10 	2756 			412 	0 	0 	19 	102 	4 	3 	37 	0 			13 	258 	421 		24 	14 	878 	7262 	39 	118 				702 	1 		279 	426 	25 					6650 		7 			942 	5 	0 	85 			4 	61 	0 		0 	9 	359 	0 	250 	111 	266 	0 			2638 	3091 	0 		0 	C 	28281 
Iceland	0 	0 		466 			214 	85 			9 	23 	0 	147 				4 	123 	79 		1 	416 	1333 	2529 	6 	28 	0 			688 	0 		445 	314 						1436 					116 	8 		236 				0 	132 		0 			0 	217 	402 	94 	0 			1210 	143 	0 		0 	C 	10903 
India	0 	0 	404 	38 	19 		110 	2 	0 		620 	19 	0 	134 	0 			0 		183 	2 		59 	709 	141 	3 	74 			0 	413 	7 		265 	260 	123 		52 		0 	3878 	1 		14530 		676 	1 		4 				C 	0 		0 	1680 		5 	1519 	18 	103 	2 	1 		4024 	18699 	0 		0 	C 	48777 
Indonesia	0 	0 	32 	27 			14 	7 			175 	146 	0 	698 	0 			0 		78 			10 	213 	88 	0 	172 				204 	1 		99 	141 	46 		18 		0 	1620 	8 		5328 		346 	11 	0 	2 			4 	0 	0 		0 	2129 		0 	74 	32 	106 	106 			1740 	5072 	0 		0 	C 	18748 
Iran, Islamic Republic of	0 	0 		9 			0 	1 			0 		0 	1 				0 	0 	135 				5 	38 	0 	6 					0 		6 	0 					0 	98 					0 							0 			1 			0 	0 	95 	18 	0 			C 		0 		0 		413 
Iraq	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 	9 					1 					4 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		13 
Ireland	0 	0 	461 	4859 	92 	2 	7708 	4976 	14 	9 	1752 	8 	1579 	3393 	47 	43 		80 	231 	2332 		2 	4228 	35770 	41964 	201 	4745 	40 	322 			1886 	44 	33859 	33713 	6639 	30 	306 	10 	5 	24811 	0 	39 	49 	150 	13163 	98 	0 	1631 		2 	16 	73 	7258 		0 	2209 	2 	5889 	8806 	1639 	8789 	2 	1 		47327 	33470 	0 		0 	C 	346770 
Isle of Man	0 	0 		0 			0 	0 	0 		0 		0 					46 		23 				0 	0 	0 	29 				5 			15 	0 	2 				0 	31 	0 		0 		0 							0 	0 		0 			51 	0 	0 	515 	0 			1410 	0 	0 		0 		2127 
Israel	0 	0 	26 	192 			44 	19 	10 		538 	196 	0 	0 				0 	0 	184 			3 	372 	318 	27 	44 	0 	1 		338 	0 		256 	999 	21 					1034 		6 	0 		346 	2 	0 	18 		0 	5 	0 	0 		0 	18 		2 	23 	36 	264 	40 	0 		1961 	28664 	3 		0 	C 	36013 
Italy	21 	0 	1721 	11786 	9 	1 	60897 	1707 	42 	36 	4073 	151 	35 	1381 	38 	2 	0 	132 	578 	4125 	29 	38 	6955 	181419 	109505 	1356 	4790 	11 	16 	0 	68512 	71 	6 		58380 	2056 	123 	17 	120 	24 	107395 	17 	406 	16 		56441 	220 	35 	8976 		1 	5 	92 	5483 	3 	5 	2189 	138 	43 	57442 	4650 	9599 	81 	6 		113694 	66931 	4 		5 	34484 	988526 
Jamaica	0 	0 		8 			0 	0 			0 	3 	0 				0 	0 		3 				11 	71 	0 						0 		75 	0 	7 					5 					0 	5 						0 			0 			0 	8 	0 	8 	0 			C 	40 	0 		0 	C 	244 
Japan	5 	2 	8858 	1910 	4 	8 	2007 	4658 	3 		19033 	299 	22 	10443 	62 	3 		25 	1 	3058 	128 	1 	925 	29882 	25764 	45 	1780 	8 	69 	3 	18644 	349 	32 	11683 		2251 	179 	243 	4 	5 	42147 	19 	56 	2 		21840 	337 	1393 	12153 			14 	1 	126 		4 	8306 	1 	412 	1436 	8504 	12366 	1 	4 		109018 	291850 	0 	0 	1 	85644 	738029 
Jersey	0 	0 		2412 			3526 	556 		1 	53 	105 	0 	C 	9 			0 		186 			204 	3408 	12096 	213 	652 		22 		2271 	89 		5851 	0 			94 	33 	1 	5817 	26 	15 	81 		7205 	1 						231 	4314 		0 	8 		2021 	156 	44 	28835 	0 			32226 	10456 	0 		0 	C 	123220 
Jordan	0 	0 		0 			0 	0 			0 		0 					6 		0 	15 			0 	0 	0 	3 				0 	0 		0 	0 				1 	2 	2 					0 			0 				0 			0 			0 	0 	0 	0 	0 			36 	57 	0 		0 		123 
Kazakhstan	0 	0 		5 			2 	30 			0 	4 	0 	C 				27 		5 				21 	29 	3 	0 				6 	0 		1 	0 	14 					41 					3 						1 	0 	0 		1 			0 	0 	0 	3 	0 	0 		257 	102 	0 		0 	C 	554 
Kenya	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 	16 				4 	0 		1 	0 						16 			24 		1 	0 					0 	0 			0 			0 	0 	0 	0 	0 			45 	21 	0 		0 		128 
Kiribati	0 	0 		0 			1 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						3 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		4 
Korea, Democratic People's Rep. of	0 	0 						0 										0 		0 					0 							0 			0 						0 					0 		0 					0 			0 			0 	0 	0 		0 					0 		0 		0 
Korea, Republic of	0 	0 	841 	224 			304 	800 	0 		2736 	137 	20 	10040 	35 			15 	0 	733 	2 		145 	2309 	2751 	9 	531 	10 	8 	2 	2729 	12 		1493 	5289 	502 					9581 	154 	6 	78 		3626 	5 	66 	765 			36 	C 	0 		0 	8764 		9 	15 	623 	1170 	0 			19228 	53429 	0 		0 	C 	129231 
Kosovo, Republic of																																																																								
Kuwait	0 	0 		13 			5 	0 			0 		0 					8 		0 	6 			29 	0 	0 	2 					0 		0 	0 					0 	22 					0 							0 			0 	0 		0 	0 	0 	0 	0 	7 		1977 		0 		0 		2070 
Kyrgyz Republic	0 	0 		0 			0 	3 	0 		0 		0 					0 		0 				0 	0 	0 				1 		0 		0 	0 						2 					0 							0 			0 			0 	0 	0 	0 	0 			0 	0 	0 		0 	C 	7 
Lao People's Democratic Republic	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		0 
Latvia	0 	0 		72 			0 	0 			0 		0 	C 				12 	0 	11 		40 	11 	4 	283 	0 	3 					0 		1 	3 						51 					39 			1 				C 			0 			0 	3 	15 	2 	0 			C 	0 	0 		0 	C 	551 
Lebanon	0 	0 		1 			0 	0 	5 		0 	2 	0 	C 				282 		0 	3 			30 	5 	0 						0 		16 	2 				36 		41 					8 			1 				0 			0 			0 	0 	0 	12 	0 			C 	150 	0 		0 		595 
Lesotho	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			2 	0 	0 	0 	0 			0 	2 	0 		0 		4 
Liberia	0 	0 		3 			1 	24 	0 		14 		0 	4 				0 		2 			4 	39 	38 	1 	2 				4 	0 		38 	14 	7 			3 		31 					38 			300 				0 			0 			0 	0 	-1 	5 	0 			100 	4328 	0 		0 	C 	4998 
Libya	0 	0 		0 			0 	9 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			12 		0 		0 		21 
Liechtenstein	0 	0 		30 			0 	0 	0 		0 		0 					0 	0 	0 				4 	164 	0 					0 	0 		242 	0 	68 					28 					1 							0 	0 		0 			0 	0 	1 		0 			C 	19 	0 		0 		559 
Lithuania	0 	0 		231 			9 	0 		5 	0 	3 	0 					7 		3 		66 	19 	73 	815 	3 		10 			1 	0 		11 	0 						282 					192 			2 				C 	0 		0 			0 	4 	54 	33 	0 			C 	28 	0 		0 	C 	1851 
Luxembourg	512 	0 	69 	10296 		6 	76524 	1133 	94 	45 	726 	143 	5798 	10832 	144 	180 		186 	1049 	1453 	1 	36 	4606 	50489 	171140 	3135 	1878 	72 	1161 	13 	16032 	1817 	642 	189594 	53843 	2117 	0 	1752 	6 	69 		1 	77 	85 	307 	16081 	28 	2 	3231 		27 	10 	166 	5505 	7 	498 	4514 	301 	1477 	19816 	30281 	106191 	2 	302 		38830 	23383 	12 		0 	C 	858726 
Macedonia, FYR	0 	0 		1 			0 	0 			0 		0 					0 		13 				1 	0 	0 	2 					0 		1 	0 						10 					5 							0 			0 			0 	0 	0 	0 	0 			12 	42 	0 		0 	C 	88 
Madagascar	0 	0 		0 			0 	0 			0 		0 					0 	0 	0 				0 	0 	0 						0 		0 	0 						0 			14 		0 							0 			0 			0 	0 	0 	0 	0 			0 	0 	0 		0 		14 
Malawi	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						30 					0 							0 			0 			0 	0 	0 	0 	0 			0 	0 	0 		0 		30 
Malaysia	0 	0 	77 	75 			35 	41 			225 	185 	7 	3622 	4 			0 		222 			44 	400 	469 	0 	194 			1 	433 	2 		361 	1705 	148 		158 	10 		2120 			347 		998 		0 	43 			24 	0 	0 		1 	8583 		0 	0 	75 	158 	6 			4499 	7953 	0 		0 	C 	33226 
Maldives	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		10 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		10 
Mali	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			5 	0 	0 		0 	C 	5 
Malta	0 	0 		48 			0 	0 			0 		0 					25 		0 			0 	0 	43 	0 						0 		14 	0 				41 		13 					0 							0 			0 			3 	5 	0 	0 	0 			C 	19 	0 		0 		211 
Marshall Islands, Republic of	0 	0 		3 			0 	8 			26 		0 	0 				5 		0 				16 	6 	0 					1 	0 	14 	8 	3 					0 	4 					10 	1 						0 			0 			0 	0 	3 	3 	0 			0 	942 	0 		0 		1054 
Martinique	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 		0 			0 		0 		0 		0 
Mauritania	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 	0 	0 		0 		0 
Mauritius	0 	0 		3 			0 	0 			0 		0 	347 	0 			2 		2 				18 	24 	0 	77 			435 	38 	5 		8 	7 			21 			76 					19 				4 			0 			0 	88 		22 	0 	0 	26 	0 			C 	174 	0 		0 		1395 
Mayotte	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 		0 			0 		0 		0 		0 
Mexico	24 	0 	127 	605 	968 	1 	45 	259 	6 		2523 	5632 	154 	159 	0 	1 	14 	51 	9 	686 			13 	959 	2739 	15 	320 		1 		1103 	4 		2530 	2505 	184 		33 		1 	4376 					2427 	54 	0 	460 		93 	2 	0 	76 		0 	305 	0 	0 	118 	116 	595 	6 	1 		8261 	56240 	21 		19 		94843 
Micronesia, Federated States of	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		0 
Moldova	0 	0 		0 			0 	0 			0 		0 					0 		20 				0 	0 	0 						0 		0 	0 						0 					0 							0 		1 	140 			0 	0 	0 	0 	0 			0 	0 	0 		0 	C 	162 
Monaco	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		759 	0 						0 					0 							0 			0 			0 	0 	0 		0 			4 	3 	0 		0 		766 
Mongolia	0 	0 		0 			0 	0 			50 		0 					0 		0 				0 	0 	0 						0 		0 	0 						1 					0 							0 			0 			0 	0 	0 	0 	0 			0 	1 	0 		0 		52 
Montenegro																																														0 																0 										0 
Montserrat	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 					4 		0 			0 	0 		0 	0 	0 		0 			0 		0 		0 		4 
Morocco	0 	0 	C 	10 			13 	10 			2 	8 	0 	C 				1 		11 	15 			412 	78 	0 	60 			1 	51 	0 		38 	1 	32 			18 	0 	202 					52 							C 	0 		0 			0 	358 	0 	5 	0 			75 	163 	0 		0 		1615 
Mozambique	0 	0 		0 			0 	0 	0 		0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						1 			2 		0 							0 	0 		0 			0 	0 	0 	0 	0 			0 	0 	0 		0 		4 
Myanmar	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 				0 		0 		0 	3 						0 					0 							0 			0 	5 		0 	0 	0 	0 	0 			0 	0 	0 		0 		8 
Namibia	0 	0 		0 			1 	0 			0 		0 					0 		0 				0 	1 	0 						0 		0 	0 						0 					0 							0 			0 			4 	0 	0 	0 	0 			5 	3 	0 		0 		14 
Nauru	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			2 		0 		0 		2 
Nepal	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 	0 	0 		0 	C 	0 
Netherlands	44 	6 	7292 	16438 	58 	22 	41091 	3143 	62 	40 	7260 	298 	273 	9006 	199 	2 		316 	1439 	5285 	34 	203 	9296 	170667 	142948 	1118 	2326 	113 	29 	165 	30985 	181 	149 	62841 	61329 	9473 	194 	625 	271 	13 	81638 	103 	303 	69 	9 		407 	46 	7137 	0 	23 	76 	413 	8397 		187 	4029 	140 	92 	48142 	8363 	52991 	0 	457 		106984 	182193 	48 		10 	30122 	1117614 
Netherlands Antilles	0 	23 		672 	26 		1021 	222 	5 		338 	20 	0 	527 	0 			6 	19 	845 			6 	23748 	1944 	0 	421 	1 			620 	20 		3953 	12909 	473 				0 	3643 					2013 			91 		3 		C 	368 		0 		6 	0 	2675 	130 	2968 	0 			2888 	24737 	1 		0 	C 	87344 
New Zealand	0 	0 	1112 	34 		7 	99 	209 			348 		3 	781 	12 			0 		58 			19 	408 	337 	0 	184 				860 	15 	5 	111 	2107 	899 	0 				1075 	0 		0 		203 	48 		263 			1 	0 	0 		0 	813 		2 	107 	54 	446 	0 			4710 	10558 	0 	10 	0 	C 	25903 
Nicaragua	0 	0 		0 			0 	0 			0 		0 				1 	0 		0 				0 	0 	0 						0 		0 	0 						6 					0 					16 		0 			0 			0 	0 	0 	0 	0 			0 	1 	0 		0 	C 	24 
Niger	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			C 	0 	0 		0 	C 	0 
Nigeria	0 	0 		11 			0 	0 			0 	144 	0 					0 		37 	6 			124 	8 	0 	37 				14 	0 		33 	2 	4 				1 	33 			5 		56 							C 			0 			0 	0 	0 	2 	0 			C 		0 		0 		516 
Niue	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		4 	0 						0 					0 							0 			0 			0 	0 	0 		0 			0 		0 		0 		4 
Norfolk Island	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 		0 			0 		0 		0 		0 
Norway	0 	0 	248 	1129 	97 	1 	666 	380 	1 		611 	77 	0 	2199 	107 			156 	65 	1957 	1 	16 	1014 	3621 	6057 	53 	495 	0 	10 		2476 	52 	23 	1080 	10808 	669 	0 	4 		0 	7428 		27 			1684 	5 	27 			2 	10 	C 	40 		0 	885 	0 	7 	1204 	3219 	5057 	0 			9263 	21243 	0 		0 	C 	84174 
Oman	0 	0 		0 			0 	0 			1 		0 					0 		0 				0 	0 	0 	48 					0 		0 	0 				2 		13 					0 							0 			0 			0 	0 	0 	0 	0 			12 		0 		0 		78 
Pakistan	0 	0 		0 			0 	0 			2 	4 	0 	0 				0 		16 	0 			0 	1 	0 					11 	0 		1 	5 			3 			4 			196 		1 			0 				0 			0 			0 	0 	0 	1 	0 			C 	133 	0 		0 	C 	378 
Palau	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	2 	0 			0 		0 		0 		2 
Panama	47 	0 	2 	44 	122 	5 	33 	18 	43 		214 	27 	0 	105 	0 	3 	35 	8 		77 			0 	122 	179 	0 	30 				114 	1 	5 	242 	212 	37 				0 	837 					495 	6 		61 				0 	0 		0 			0 	60 	9 	392 	0 			C 	18648 	2 		13 	C 	22253 
Papua New Guinea	0 	0 	C 	8 			1 	0 			21 		0 	12 				0 		0 				9 	14 	0 					13 	0 		9 	0 						227 	0 				23 							0 	0 		0 			0 	0 	3 	18 	0 			C 	235 	0 		0 		591 
Paraguay	0 	0 		0 			0 	0 	6 		0 		0 					0 		0 				0 	0 	0 						0 		0 	0 					0 	0 					0 							0 			0 			2 	0 	0 	0 	0 			5 	0 	0 		0 		13 
Peru	0 	0 	10 	38 	19 		11 	6 	0 		135 	1 	0 				2 	0 		75 			0 	107 	117 	0 	17 				98 	0 		133 	49 	11 					856 					241 	0 		0 		33 		0 	0 		0 			0 	13 	3 	38 	0 			236 	3999 	0 		0 		6248 
